game_id,play_id,desc,penalty_accepted,decision_team,down,ydstogo,yardline_100,decline_down,decline_ydstogo,decline_yardline_100,decline_pred,accept_down,accept_ydstogo,accept_yardline_100,accept_pred,correct_call,diff
2022_15_DET_NYJ,1220,"(10:00) (Shotgun) 16-J.Goff pass short right to 14-A.St. Brown pushed ob at NYJ 26 for 12 yards (30-M.Carter). Penalty on NYJ-22-T.Adams, Defensive Holding, declined.",FALSE,Offense,4,3,38,1,10,26,0.7217399500919205,1,10,28,0.7221017491916432,FALSE,3.6179909972267055e-4
2022_06_JAX_IND,3688,"(4:39) (Shotgun) 25-J.Robinson left guard to IND 33 for 1 yard (44-Z.Franklin; 23-K.Moore). PENALTY on IND-99-D.Buckner, Defensive Holding, 5 yards, enforced at IND 33.",TRUE,Offense,2,4,34,3,3,33,0.547012128775319,1,10,29,0.7222825401848527,TRUE,0.1752704114095337
2022_04_JAX_PHI,2504,"(6:22) 16-T.Lawrence pass incomplete short right to 17-E.Engram (33-J.Scott). PENALTY on PHI-33-J.Scott, Defensive Holding, 5 yards, enforced at PHI 34 - No Play.",TRUE,Offense,2,4,34,3,4,34,0.506211919342977,1,10,29,0.7222825401848527,TRUE,0.21607062084187567
2022_02_LAC_KC,741,"(:47) 10-J.Herbert pass deep left to 81-M.Williams to KC 1 for 39 yards (27-R.Fenton). Penalty on KC-27-R.Fenton, Defensive Pass Interference, declined. Penalty on KC-27-R.Fenton, Defensive Holding, declined.",FALSE,Offense,2,3,40,1,10,1,0.7171931322922905,1,10,30,0.7224632587670452,FALSE,0.005270126474754666
2022_09_LV_JAX,2030,"(14:11) (Shotgun) 16-T.Lawrence pass short left to 13-C.Kirk ran ob at LV 28 for 12 yards. Penalty on LV-21-A.Robertson, Defensive Holding, declined.",FALSE,Offense,2,5,40,1,10,28,0.7221017491916432,1,10,30,0.7224632587670452,FALSE,3.6150957540204143e-4
2022_14_TB_SF,2138,"(:28) (Shotgun) 13-B.Purdy pass short middle intended for 3-R.McCloud INTERCEPTED by 98-A.Nelson at TB 31. 98-A.Nelson to TB 42 for 11 yards (23-C.McCaffrey; 65-A.Banks). PENALTY on TB-24-C.Davis, Defensive Holding, 5 yards, enforced at TB 37 - No Play.",TRUE,Offense,3,3,37,4,3,37,0.3165877873992671,1,10,32,0.7228244785791282,TRUE,0.40623669117986116
2022_10_IND_LV,3751,"(1:56) (Shotgun) 4-D.Carr pass short right to 22-A.Abdullah to IND 35 for 8 yards (26-R.McLeod). Penalty on IND-44-Z.Franklin, Defensive Holding, declined.",FALSE,Offense,3,4,43,1,10,35,0.7233657644714775,1,10,33,0.7230049797496001,TRUE,3.607847218773941e-4
2022_06_JAX_IND,2321,"(12:58) (Shotgun) 16-T.Lawrence pass incomplete short left to 84-C.Manhertz [26-R.McLeod]. PENALTY on IND-31-B.Facyson, Defensive Holding, 5 yards, enforced at IND 39 - No Play.",TRUE,Offense,3,1,39,4,1,39,0.3921270872236061,1,10,34,0.7231854083902174,TRUE,0.33105832116661127
2022_04_TEN_IND,1958,"(:46) (Shotgun) 17-R.Tannehill pass incomplete short right. PENALTY on IND-44-Z.Franklin, Defensive Holding, 5 yards, enforced at IND 39 - No Play.",TRUE,Offense,2,5,39,3,5,39,0.46622569506874456,1,10,34,0.7231854083902174,TRUE,0.2569597133214728
2022_18_NE_BUF,447,"(8:44) 10-M.Jones pass deep middle to 1-D.Parker to BUF 28 for 17 yards (30-D.Jackson). Penalty on BUF-27-T.White, Defensive Holding, declined.",FALSE,Offense,1,10,45,1,10,28,0.7221017491916432,1,10,35,0.7233657644714775,FALSE,0.0012640152798343296
