desc,down,ydstogo,yardline_100,penalty_yards,penalty_accepted,penalty_type
"(1:17) (Shotgun) PENALTY on CLE-2-A.Cooper, False Start, 5 yards, enforced at CLE 42 - No Play.",3,8,58,-5,TRUE,False Start
"(1:17) (Shotgun) 7-J.Brissett pass short left to 27-K.Hunt to CAR 39 for 24 yards (95-D.Brown). PENALTY on CAR-25-X.Woods, Low Block, 15 yards, enforced at CAR 39.",3,13,63,15,TRUE,Low Block
"3-C.York kicks 65 yards from CLE 35 to end zone, Touchback. PENALTY on CLE-29-H.Miller, Illegal Formation, 5 yards, enforced at CLE 35 - No Play.",NA,0,35,5,TRUE,Illegal Formation
"(8:51) PENALTY on CLE, Delay of Game, 5 yards, enforced at CAR 11 - No Play.",2,6,11,-5,TRUE,Delay of Game
"(6:59) 6-B.Mayfield pass incomplete short right to 3-R.Anderson. PENALTY on CLE-23-M.Emerson, Defensive Pass Interference, 6 yards, enforced at CAR 22 - No Play.",2,6,78,6,TRUE,Defensive Pass Interference
"(2:59) (Run formation) PENALTY on CLE, Delay of Game, 5 yards, enforced at CLE 41 - No Play.",4,2,59,-5,TRUE,Delay of Game
"(6:02) 7-J.Brissett pass short right to 85-D.Njoku to CLE 30 for 5 yards (57-D.Wilson). PENALTY on CLE-66-J.Hudson, Ineligible Downfield Pass, 5 yards, enforced at CLE 25 - No Play.",1,10,75,-5,TRUE,Ineligible Downfield Pass
"(2:42) 7-J.Brissett pass incomplete deep right to 2-A.Cooper. PENALTY on CAR-8-J.Horn, Defensive Holding, 5 yards, enforced at CLE 38 - No Play.",2,8,62,5,TRUE,Defensive Holding
"(1:36) (No Huddle, Shotgun) 6-B.Mayfield pass short right to 22-C.McCaffrey to CLE 29 for 21 yards (43-J.Johnson). PENALTY on CLE-43-J.Johnson, Horse Collar Tackle, 15 yards, enforced at CLE 29.",2,6,50,15,TRUE,Horse Collar Tackle
"(1:13) (Shotgun) 7-J.Brissett pass incomplete short left to 11-D.Peoples-Jones. PENALTY on CAR-53-B.Burns, Roughing the Passer, 15 yards, enforced at CLE 25 - No Play.",1,10,75,15,TRUE,Roughing the Passer
"(13:02) (Shotgun) PENALTY on SEA-60-P.Haynes, False Start, 5 yards, enforced at DEN 46 - No Play.",1,10,46,-5,TRUE,False Start
"(8:25) PENALTY on DEN-73-C.Fleming, False Start, 5 yards, enforced at SEA 18 - No Play.",2,10,18,-5,TRUE,False Start
"(6:48) (Shotgun) 7-G.Smith pass incomplete deep right to 89-W.Dissly. PENALTY on DEN-23-R.Darby, Defensive Pass Interference, 21 yards, enforced at SEA 21 - No Play.",1,10,79,21,TRUE,Defensive Pass Interference
"(6:40) (Shotgun) 7-G.Smith pass short middle to 87-N.Fant to DEN 45 for 13 yards (49-A.Singleton; 31-J.Simmons). PENALTY on DEN-22-K.Jackson, Unnecessary Roughness, 15 yards, enforced at DEN 45.",1,10,58,15,TRUE,Unnecessary Roughness
"(:09) PENALTY on DEN-72-G.Bolles, False Start, 5 yards, enforced at DEN 47 - No Play.",1,10,53,-5,TRUE,False Start
"(13:29) (Shotgun) 3-R.Wilson pass incomplete short middle to 85-A.Okwuegbunam (10-U.Nwosu) [33-J.Adams]. Penalty on DEN-72-G.Bolles, Illegal Formation, declined.",3,12,55,NA,FALSE,NA
"(11:28) (Shotgun) 7-G.Smith pass short right to 1-D.Eskridge to SEA 31 for no gain (53-J.Cooper). PENALTY on DEN-53-J.Cooper, Taunting, 15 yards, enforced at SEA 31.",1,10,69,15,TRUE,Taunting
"(10:13) (Shotgun) 7-G.Smith pass short middle to 25-T.Homer to DEN 19 for 7 yards (5-R.Gregory). PENALTY on DEN-5-R.Gregory, Illegal Contact, 5 yards, enforced at DEN 26 - No Play.",1,10,26,5,TRUE,Illegal Contact
"(9:14) (Shotgun) 7-G.Smith scrambles up the middle to DEN 12 for 7 yards (55-B.Chubb, 22-K.Jackson). PENALTY on SEA-60-P.Haynes, Offensive Holding, 10 yards, enforced at DEN 19 - No Play.",2,8,19,-10,TRUE,Offensive Holding
"(4:50) 20-R.Penny up the middle to SEA 32 for 4 yards (23-R.Darby). PENALTY on DEN-97-Dj.Jones, Defensive Holding, 5 yards, enforced at SEA 32.",2,7,72,5,TRUE,Defensive Holding
"(10:48) PENALTY on DEN, Delay of Game, 5 yards, enforced at SEA 35 - No Play.",2,9,35,-5,TRUE,Delay of Game
"(10:28) (Shotgun) 3-R.Wilson pass incomplete deep left to 14-C.Sutton. PENALTY on SEA-27-T.Woolen, Defensive Pass Interference, 31 yards, enforced at SEA 40 - No Play.",2,14,40,31,TRUE,Defensive Pass Interference
"(9:31) PENALTY on DEN, Delay of Game, 5 yards, enforced at SEA 6 - No Play.",2,6,6,-5,TRUE,Delay of Game
"(7:05) (Shotgun) 7-G.Smith pass incomplete short left to 14-D.Metcalf. PENALTY on DEN-2-P.Surtain, Defensive Holding, 5 yards, enforced at SEA 11 - No Play.",3,9,89,5,TRUE,Defensive Holding
"(7:01) 7-G.Smith pass incomplete deep left to 14-D.Metcalf (2-P.Surtain). PENALTY on DEN-55-B.Chubb, Roughing the Passer, 15 yards, enforced at SEA 16 - No Play.",1,10,84,15,TRUE,Roughing the Passer
"(4:45) (Shotgun) 3-R.Wilson pass incomplete deep left to 1-K.Hamler. PENALTY on SEA-27-T.Woolen, Defensive Pass Interference, 21 yards, enforced at SEA 25 - No Play.",3,3,25,21,TRUE,Defensive Pass Interference
"(1:12) (Shotgun) 20-R.Penny right guard to DEN 42 for 23 yards (22-K.Jackson). PENALTY on SEA-72-A.Lucas, Offensive Holding, 10 yards, enforced at SEA 35 - No Play.",2,6,65,-10,TRUE,Offensive Holding
"(6:28) (Shotgun) PENALTY on DEN-14-C.Sutton, False Start, 5 yards, enforced at SEA 3 - No Play.",2,3,3,-5,TRUE,False Start
"(3:57) (Field Goal formation) PENALTY on MIN, Delay of Game, 5 yards, enforced at GB 5 - No Play.",4,2,5,-5,TRUE,Delay of Game
"(:13) 14-R.Wright punts 53 yards to GB 16, Center-42-A.DePaola, fair catch by 8-Am.Rodgers. Penalty on GB-51-K.Barnes, Running Into the Kicker, declined.",4,9,69,NA,FALSE,NA
"(10:45) (Shotgun) 8-K.Cousins pass incomplete deep left to 18-J.Jefferson. PENALTY on MIN-18-J.Jefferson, Offensive Pass Interference, 10 yards, enforced at GB 28 - No Play.",3,5,28,-10,TRUE,Offensive Pass Interference
"(4:43) (No Huddle, Shotgun) PENALTY on GB-52-R.Gary, Neutral Zone Infraction, 5 yards, enforced at MIN 25 - No Play.",2,10,75,5,TRUE,Neutral Zone Infraction
"(2:56) (Shotgun) PENALTY on MIN, Delay of Game, 5 yards, enforced at MIN 36 - No Play.",2,11,64,-5,TRUE,Delay of Game
"(12:06) (Punt formation) PENALTY on GB-59-D.Campbell, False Start, 5 yards, enforced at GB 43 - No Play.",4,12,57,-5,TRUE,False Start
"(4:08) 12-A.Rodgers pass short right to 88-J.Winfree ran ob at MIN 27 for 17 yards (7-P.Peterson). Penalty on MIN-99-D.Hunter, Defensive Offside, declined.",3,5,44,NA,FALSE,NA
"(3:50) (Shotgun) 12-A.Rodgers pass incomplete deep middle to 85-R.Tonyan (54-E.Kendricks). Penalty on GB-73-Y.Nijman, Illegal Use of Hands, declined.",4,1,18,NA,FALSE,NA
"(2:48) (Shotgun) 10-D.Mills pass incomplete deep right to 15-C.Moore. PENALTY on IND-23-K.Moore, Defensive Pass Interference, 33 yards, enforced at IND 49 - No Play.",2,13,49,33,TRUE,Defensive Pass Interference
"(1:37) (Shotgun) PENALTY on HOU-50-M.Dwumfour, Neutral Zone Infraction, 5 yards, enforced at IND 41 - No Play.",2,7,59,5,TRUE,Neutral Zone Infraction
