desc,down,ydstogo,yardline_100,penalty_yards,penalty_accepted,penalty_type
"(:47) (No Huddle, Shotgun) 1-M.Mariota pass deep middle to 17-O.Zaccheaus pushed ob at TB 40 for 20 yards (31-A.Winfield). PENALTY on TB-50-V.Vea, Roughing the Passer, 15 yards, enforced at TB 40.",2,2,60,15,TRUE,Roughing the Passer
"(14:55) PENALTY on ATL-68-E.Wilkinson, False Start, 5 yards, enforced at ATL 18 - No Play.",1,10,82,-5,TRUE,False Start
"(14:01) (No Huddle, Shotgun) 1-M.Mariota pass short right to 25-T.Allgeier pushed ob at ATL 39 for 17 yards (45-D.White). PENALTY on ATL-68-E.Wilkinson, Ineligible Downfield Pass, 5 yards, enforced at ATL 22 - No Play.",3,6,78,-5,TRUE,Ineligible Downfield Pass
"(1:06) (Shotgun) PENALTY on TB-56-R.Nunez-Roches, Neutral Zone Infraction, 5 yards, enforced at TB 21 - No Play.",1,10,21,5,TRUE,Neutral Zone Infraction
"(12:03) 42-C.Huntley right tackle to TB 45 for 6 yards (50-V.Vea). PENALTY on ATL-68-E.Wilkinson, Face Mask, 15 yards, enforced at ATL 49 - No Play.",2,7,51,-15,TRUE,Face Mask
"(6:52) (No Huddle, Shotgun) 25-T.Allgeier up the middle to TB 47 for 1 yard (54-L.David, 58-S.Barrett). PENALTY on TB-90-L.Hall, Defensive Holding, 5 yards, enforced at TB 47.",1,10,48,5,TRUE,Defensive Holding
"(3:18) (Shotgun) 12-T.Brady pass incomplete short middle to 14-C.Godwin. PENALTY on ATL-24-A.Terrell, Defensive Holding, 5 yards, enforced at TB 43 - No Play.",3,4,57,5,TRUE,Defensive Holding
"(3:03) (Shotgun) 12-T.Brady sacked at TB 43 for -10 yards (97-G.Jarrett). PENALTY on ATL-97-G.Jarrett, Roughing the Passer, 15 yards, enforced at ATL 47 - No Play.",3,5,47,15,TRUE,Roughing the Passer
"(8:15) (Shotgun) PENALTY on CHI, Delay of Game, 5 yards, enforced at CHI 25 - No Play.",1,10,75,-5,TRUE,Delay of Game
"(7:06) (Shotgun) 1-J.Fields pass incomplete deep right to 11-D.Mooney. PENALTY on MIN-7-P.Peterson, Defensive Pass Interference, 20 yards, enforced at MIN 46 - No Play.",2,6,46,20,TRUE,Defensive Pass Interference
"(6:15) (Shotgun) PENALTY on CHI-75-L.Borom, False Start, 5 yards, enforced at MIN 26 - No Play.",3,10,26,-5,TRUE,False Start
"(14:52) (Shotgun) 1-J.Fields FUMBLES (Aborted) at CHI 11, and recovers at CHI 13. 1-J.Fields to CHI 13 for no gain (54-E.Kendricks). Penalty on CHI-1-J.Fields, Illegal Motion, declined.",1,10,86,NA,FALSE,NA
"(13:50) 16-T.Gill punts 52 yards to MIN 39, Center-48-P.Scales. 5-J.Reagor to MIN 47 for 8 yards (31-Ja.Jones). FUMBLES (31-Ja.Jones), touched at MIN 49, and recovers at MIN 49. PENALTY on MIN-29-K.Boyd, Offensive Holding, 10 yards, enforced at MIN 39.",4,15,91,10,TRUE,Offensive Holding
"(11:43) 8-K.Cousins pass short left to 4-D.Cook pushed ob at CHI 28 for 4 yards (22-K.Vildor). PENALTY on MIN-84-I.Smith, Offensive Holding, 10 yards, enforced at CHI 32 - No Play.",1,10,32,-10,TRUE,Offensive Holding
"(9:47) (Shotgun) PENALTY on MIN-17-K.Osborn, False Start, 5 yards, enforced at CHI 27 - No Play.",3,5,27,-5,TRUE,False Start
"(4:20) (Shotgun) 1-J.Fields pass incomplete deep left to 18-D.Pettis. Penalty on CHI-67-S.Mustipher, Offensive Holding, declined.",3,7,60,NA,FALSE,NA
"(2:00) 14-R.Wright punts 15 yards to CHI 40, Center-42-A.DePaola, out of bounds. PENALTY on MIN-98-D.Wonnum, Offensive Holding, 10 yards, enforced at CHI 40.",4,11,55,-10,TRUE,Offensive Holding
"(:31) (Shotgun) 8-K.Cousins pass incomplete deep right to 18-J.Jefferson (22-K.Vildor) [91-D.Robinson]. PENALTY on CHI-94-R.Quinn, Defensive Offside, 5 yards, enforced at MIN 40 - No Play.",1,10,60,5,TRUE,Defensive Offside
"(5:39) 1-J.Fields scrambles left end pushed ob at MIN 31 for 12 yards (58-J.Hicks). PENALTY on CHI-76-T.Jenkins, Offensive Holding, 10 yards, enforced at MIN 43 - No Play.",1,10,43,-10,TRUE,Offensive Holding
"(:25) 4-D.Cook up the middle to CHI 46 for 7 yards (4-E.Jackson). PENALTY on MIN-86-J.Mundt, Offensive Holding, 10 yards, enforced at MIN 47 - No Play.",1,10,53,-10,TRUE,Offensive Holding
"(12:59) (Shotgun) 8-K.Cousins pass incomplete deep right to 18-J.Jefferson. PENALTY on CHI-31-Ja.Jones, Defensive Holding, 5 yards, enforced at CHI 47 - No Play.",4,4,47,5,TRUE,Defensive Holding
"(12:08) (Shotgun) 1-J.Fields scrambles left end for 52 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on CHI-17-I.Smith-Marsette, Illegal Block Above the Waist, 10 yards, enforced at MIN 40.",2,10,52,-10,TRUE,Illegal Block Above the Waist
"(9:26) PENALTY on MIN-67-E.Ingram, False Start, 5 yards, enforced at MIN 25 - No Play.",1,10,75,-5,TRUE,False Start
"(5:04) (Shotgun) 8-L.Jackson sacked at BAL 40 for -9 yards (94-S.Hubbard). PENALTY on CIN-22-C.Awuzie, Defensive Holding, 5 yards, enforced at BAL 49 - No Play.",3,10,51,5,TRUE,Defensive Holding
"(4:45) (Shotgun) 8-L.Jackson right end pushed ob at CIN 38 for 8 yards (20-E.Apple). PENALTY on BAL-65-P.Mekari, Offensive Holding, 10 yards, enforced at CIN 46 - No Play.",1,10,46,-10,TRUE,Offensive Holding
"(7:23) 77-H.Adeniji reported in as eligible.  9-J.Burrow pass short right to 1-J.Chase to 50 for 9 yards (36-C.Clark). PENALTY on CIN-71-L.Collins, Ineligible Downfield Pass, 5 yards, enforced at CIN 41 - No Play.",1,10,59,-5,TRUE,Ineligible Downfield Pass
"(3:13) (Shotgun) 27-J.Dobbins up the middle to BAL 47 for 3 yards (55-L.Wilson; 21-M.Hilton). FUMBLES (55-L.Wilson), recovered by BAL-70-K.Zeitler at BAL 47. PENALTY on BAL, Illegal Shift, 5 yards, enforced at BAL 44 - No Play.",2,3,56,-5,TRUE,Illegal Shift
"(8:14) (Shotgun) 9-J.Burrow pass incomplete deep right to 1-J.Chase. PENALTY on BAL-24-M.Peters, Defensive Pass Interference, 18 yards, enforced at CIN 44 - No Play.",3,3,56,18,TRUE,Defensive Pass Interference
"(6:08) (Shotgun) 9-J.Burrow pass short right to 34-S.Perine to BAL 13 for 7 yards (40-M.Harrison). Penalty on BAL-24-M.Peters, Illegal Use of Hands, declined.",3,6,20,NA,FALSE,NA
"(4:25) (Shotgun) 9-J.Burrow pass incomplete short left to 88-H.Hurst. PENALTY on BAL-14-K.Hamilton, Defensive Pass Interference, 6 yards, enforced at BAL 8 - No Play.",3,5,8,6,TRUE,Defensive Pass Interference
"(11:52) (Shotgun) 17-K.Drake left tackle to CIN 17 for 6 yards (24-V.Bell). PENALTY on CIN-95-Z.Carter, Defensive Holding, 5 yards, enforced at CIN 17.",1,10,23,5,TRUE,Defensive Holding
"(9:46) (Shotgun) PENALTY on BAL, Delay of Game, 4 yards, enforced at CIN 3 - No Play.",4,1,3,-4,TRUE,Delay of Game
"(8:12) (Shotgun) 9-J.Burrow pass incomplete deep left to 1-J.Chase. PENALTY on BAL-22-Da.Williams, Defensive Holding, 5 yards, enforced at CIN 42 - No Play.",2,10,58,5,TRUE,Defensive Holding
"(1:15) (No Huddle, Shotgun) 8-L.Jackson scrambles up the middle to BAL 45 for 5 yards (55-L.Wilson). PENALTY on CIN, Defensive Too Many Men on Field, 5 yards, enforced at BAL 40 - No Play.",1,10,60,5,TRUE,Defensive Too Many Men on Field
"(Kick formation) TWO-POINT CONVERSION ATTEMPT. 5-B.Anger rushes. ATTEMPT FAILS. Penalty on DAL-5-B.Anger, Illegal Kick/Kicking Loose Ball, declined.",NA,0,15,NA,FALSE,NA
"(7:23) (Shotgun) PENALTY on DAL-11-M.Parsons, Neutral Zone Infraction, 5 yards, enforced at LA 30 - No Play.",3,5,70,5,TRUE,Neutral Zone Infraction
"(2:18) (Shotgun) 10-C.Rush sacked at DAL 39 for -9 yards (99-A.Donald). FUMBLES (99-A.Donald), recovered by DAL-73-Ty.Smith at DAL 39. Penalty on DAL-73-Ty.Smith, Offensive Holding, declined.",3,5,52,NA,FALSE,NA
"(2:09) 5-B.Anger punts 51 yards to LA 10, Center-45-M.Overton. 19-B.Powell to LA 10 for no gain. PENALTY on LA-19-B.Powell, Unnecessary Roughness, 5 yards, enforced at LA 10.",4,14,61,5,TRUE,Unnecessary Roughness
"(5:22) (Shotgun) 21-E.Elliott left tackle to DAL 40 for 1 yard (26-T.Burgess). PENALTY on DAL-73-Ty.Smith, Offensive Holding, 10 yards, enforced at DAL 39 - No Play.",2,6,61,-10,TRUE,Offensive Holding
"(10:01) (Shotgun) 10-C.Rush pass short right to 88-C.Lamb to LA 27 for 9 yards (5-J.Ramsey). Penalty on LA-36-G.Haley, Defensive Holding, declined.",3,4,36,NA,FALSE,NA
"(1:35) 20-T.Pollard right tackle to DAL 22 for 8 yards (45-B.Wagner). PENALTY on DAL-89-P.Hendershot, Offensive Holding, 7 yards, enforced at DAL 14 - No Play.",3,1,86,-7,TRUE,Offensive Holding
"(:23) (Shotgun) 27-D.Henderson right tackle to DAL 23 for 6 yards (3-A.Brown). PENALTY on LA-18-B.Skowronek, Offensive Holding, 10 yards, enforced at DAL 29 - No Play.",2,10,29,-10,TRUE,Offensive Holding
"(4:41) (No Huddle, Shotgun) 9-M.Stafford pass short left to 10-C.Kupp to DAL 37 for 19 yards (6-D.Wilson). PENALTY on DAL-56-D.Fowler, Roughing the Passer, 15 yards, enforced at DAL 37.",1,10,56,15,TRUE,Roughing the Passer
"(4:10) (No Huddle, Shotgun) 9-M.Stafford pass incomplete short left to 10-C.Kupp. PENALTY on LA-79-R.Havenstein, Offensive Holding, 10 yards, enforced at DAL 16 - No Play.",2,4,16,-10,TRUE,Offensive Holding
"(4:06) (Shotgun) PENALTY on DAL-72-T.Hill, Encroachment, 5 yards, enforced at DAL 26 - No Play.",2,14,26,5,TRUE,Encroachment
"(2:23) (Shotgun) PENALTY on NE-84-K.Bourne, False Start, 6 yards, enforced at DET 29 - No Play.",2,8,29,-6,TRUE,False Start
"(14:05) 30-Ja.Williams right tackle to NE 49 for 4 yards (91-D.Wise). PENALTY on NE-92-D.Godchaux, Defensive Holding, 5 yards, enforced at NE 49.",1,10,53,5,TRUE,Defensive Holding
"(10:23) (Punt formation) PENALTY on DET-47-S.Daly, False Start, 5 yards, enforced at NE 40 - No Play.",4,16,40,-5,TRUE,False Start
"(8:38) (Shotgun) 4-B.Zappe sacked at NE 25 for -10 yards (96-I.Buggs). PENALTY on DET-55-D.Barnes, Illegal Contact, 5 yards, enforced at NE 35 - No Play.",2,5,65,5,TRUE,Illegal Contact
"(8:00) 61-M.Cannon reported in as eligible.  4-B.Zappe FUMBLES (Aborted) at NE 35, recovered by NE-38-R.Stevenson at NE 36. 38-R.Stevenson to NE 36 for no gain (5-D.Elliott). Penalty on NE-84-K.Bourne, Illegal Formation, declined.",1,10,60,NA,FALSE,NA
"(6:59) 30-Ja.Williams right tackle to NE 34 for 12 yards (50-R.McMillan; 21-A.Phillips). PENALTY on DET-88-T.Hockenson, Offensive Holding, 10 yards, enforced at NE 43.",2,6,46,-10,TRUE,Offensive Holding
"(1:56) 3-J.Fox punts 56 yards to NE 14, Center-47-S.Daly. 25-Ma.Jones to NE 26 for 12 yards (44-M.Rodriguez). PENALTY on NE-55-J.Uche, Unnecessary Roughness, 13 yards, enforced at NE 26.",4,5,70,13,TRUE,Unnecessary Roughness
"(:52) (No Huddle, Shotgun) 4-B.Zappe pass incomplete deep left to 1-D.Parker. PENALTY on DET-1-J.Okudah, Defensive Pass Interference, 22 yards, enforced at NE 39 - No Play.",1,10,61,22,TRUE,Defensive Pass Interference
"(:36) (Shotgun) 4-B.Zappe pass short right to 38-R.Stevenson to DET 28 for -4 yards (23-M.Hughes; 41-A.Parker). PENALTY on NE-76-I.Wynn, Offensive Holding, 10 yards, enforced at DET 24 - No Play.",1,10,24,-10,TRUE,Offensive Holding
"(13:42) (Shotgun) 4-B.Zappe pass incomplete deep left to 1-D.Parker. PENALTY on DET-1-J.Okudah, Defensive Pass Interference, 25 yards, enforced at NE 35 - No Play.",2,11,65,25,TRUE,Defensive Pass Interference
"(15:00) (Shotgun) 16-J.Goff pass short right to 85-T.Kennedy for 13 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on DET-42-J.Jackson, Offensive Pass Interference, 10 yards, enforced at NE 13 - No Play.",1,10,13,-10,TRUE,Offensive Pass Interference
"(14:03) (Shotgun) 16-J.Goff pass incomplete short right. PENALTY on NE-30-M.Wilson, Roughing the Passer, 9 yards, enforced at NE 17 - No Play.",3,14,17,9,TRUE,Roughing the Passer
"(13:12) PENALTY on NE-83-L.Humphrey, False Start, 3 yards, enforced at NE 6 - No Play.",1,10,94,-3,TRUE,False Start
"(13:12) 61-M.Cannon reported in as eligible.  38-R.Stevenson up the middle to NE 4 for 1 yard (97-A.Hutchinson). PENALTY on DET-96-I.Buggs, Illegal Use of Hands, 5 yards, enforced at NE 4.",1,13,97,5,TRUE,Illegal Use of Hands
"7-K.Fairbairn kicks 70 yards from HOU 35 to JAX -5. 39-J.Agnew to JAX 34 for 39 yards (23-E.Murray, 29-M.Stewart). PENALTY on JAX-42-A.Wingard, Illegal Block Above the Waist, 8 yards, enforced at JAX 16.",NA,0,35,-8,TRUE,Illegal Block Above the Waist
"(7:37) (No Huddle) 10-D.Mills pass incomplete short middle to 83-O.Howard (23-F.Oluokun). PENALTY on JAX-33-D.Lloyd, Defensive Holding, 5 yards, enforced at HOU 40 - No Play.",2,7,60,5,TRUE,Defensive Holding
"(5:21) (Shotgun) PENALTY on HOU, Delay of Game, 5 yards, enforced at JAX 34 - No Play.",1,10,34,-5,TRUE,Delay of Game
"(2:40) PENALTY on JAX-78-B.Bartch, False Start, 5 yards, enforced at JAX 20 - No Play.",2,13,80,-5,TRUE,False Start
"(:23) (Shotgun) 16-T.Lawrence pass short right to 1-T.Etienne pushed ob at HOU 4 for 12 yards (51-K.Grugier-Hill). PENALTY on JAX-75-J.Taylor, Offensive Holding, 10 yards, enforced at HOU 16 - No Play.",3,5,16,-10,TRUE,Offensive Holding
"(:11) 10-R.Patterson 45 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke. Penalty on HOU-1-T.Smith, Defensive Offside, declined.",4,15,26,NA,FALSE,NA
"(14:21) (Shotgun) 16-T.Lawrence scrambles left end pushed ob at JAX 48 for 12 yards (58-C.Kirksey). PENALTY on HOU-25-D.King, Defensive Holding, 5 yards, enforced at JAX 48.",3,5,64,5,TRUE,Defensive Holding
"(10:12) PENALTY on JAX, Offensive Too Many Men on Field, 5 yards, enforced at JAX 20 - No Play.",3,10,80,-5,TRUE,Offensive Too Many Men on Field
"(8:27) (Shotgun) 10-D.Mills pass deep left to 12-N.Collins to JAX 43 for 23 yards (32-T.Campbell). Penalty on JAX-32-T.Campbell, Defensive Pass Interference, declined.",3,2,66,NA,FALSE,NA
"(7:59) 31-D.Pierce right end to JAX 41 for 2 yards (26-S.Griffin). PENALTY on HOU-4-P.Dorsett, Offensive Holding, 10 yards, enforced at JAX 43 - No Play.",1,10,43,-10,TRUE,Offensive Holding
"(7:26) (Shotgun) PENALTY on JAX-44-T.Walker, Unnecessary Roughness, 15 yards, enforced at HOU 47 - No Play. Penalty on JAX-44-T.Walker, Neutral Zone Infraction, declined.",3,20,53,15,FALSE,Unnecessary Roughness
"(6:10) (Shotgun) PENALTY on HOU-71-T.Howard, False Start, 5 yards, enforced at JAX 33 - No Play.",3,5,33,-5,TRUE,False Start
"(4:26) (Shotgun) 2-M.Ryan pass incomplete short right to 83-K.Granson. Penalty on IND-79-B.Raimann, Offensive Holding, declined.",3,9,59,NA,FALSE,NA
"(1:22) (Shotgun) 2-M.Ryan pass short middle to 80-J.Woods to DEN 48 for 12 yards (30-C.Sterns) [99-D.Williams]. PENALTY on IND-79-B.Raimann, Offensive Holding, 10 yards, enforced at IND 40 - No Play.",3,2,60,-10,TRUE,Offensive Holding
"(12:03) PENALTY on DEN-72-G.Bolles, False Start, 5 yards, enforced at IND 31 - No Play.",1,10,31,-5,TRUE,False Start
"(8:34) (Shotgun) 2-M.Ryan pass incomplete deep left to 16-A.Dulin (30-C.Sterns). PENALTY on IND-79-B.Raimann, Offensive Holding, 10 yards, enforced at IND 49 - No Play.",2,8,51,-10,TRUE,Offensive Holding
"(5:36) (Shotgun) 3-R.Wilson pass incomplete short left to 82-E.Saubert [99-D.Buckner]. PENALTY on IND-26-R.McLeod, Defensive Pass Interference, 14 yards, enforced at DEN 38 - No Play.",2,10,62,14,TRUE,Defensive Pass Interference
"(4:56) (Shotgun) 25-M.Gordon left end to IND 43 for 1 yard (45-E.Speed). PENALTY on DEN-83-A.Beck, Offensive Holding, 10 yards, enforced at IND 44 - No Play.",2,6,44,-10,TRUE,Offensive Holding
"(2:00) (Shotgun) PENALTY on IND-79-B.Raimann, False Start, 5 yards, enforced at IND 42 - No Play.",2,3,58,-5,TRUE,False Start
"(1:28) (Shotgun) 2-M.Ryan pass deep left to 16-A.Dulin to DEN 26 for 18 yards (27-D.Mathis). Penalty on DEN-56-B.Browning, Defensive Offside, declined.",3,10,44,NA,FALSE,NA
"7-C.McLaughlin kicks 65 yards from IND 35 to end zone, Touchback. PENALTY on IND-45-E.Speed, Offside on Free Kick, 5 yards, enforced at IND 35 - No Play.",NA,0,35,5,TRUE,Offside on Free Kick
"(15:00) PENALTY on DEN-79-L.Cushenberry, False Start, 5 yards, enforced at IND 32 - No Play.",1,10,32,-5,TRUE,False Start
"(13:28) 30-P.Lindsay right tackle to DEN 42 for 7 yards (42-N.Bonitto). PENALTY on IND-63-D.Pinter, Offensive Holding, 10 yards, enforced at DEN 49 - No Play.",1,10,49,-10,TRUE,Offensive Holding
"(13:03) (Shotgun) 2-M.Ryan pass short right to 30-P.Lindsay to IND 47 for 6 yards (27-D.Mathis). PENALTY on DEN-49-A.Singleton, Unnecessary Roughness, 15 yards, enforced at IND 47.",1,20,59,15,TRUE,Unnecessary Roughness
"(8:33) (Shotgun) 2-M.Ryan pass incomplete short right to 81-M.Alie-Cox. PENALTY on DEN-56-B.Browning, Defensive Offside, 5 yards, enforced at IND 29 - No Play.",1,10,71,5,TRUE,Defensive Offside
"(7:50) (Shotgun) 2-M.Ryan pass incomplete short middle to 83-K.Granson. PENALTY on IND-72-B.Smith, Ineligible Downfield Pass, 5 yards, enforced at IND 32 - No Play.",2,7,68,-5,TRUE,Ineligible Downfield Pass
"(3:59) (Shotgun) PENALTY on DEN-61-G.Glasgow, False Start, 5 yards, enforced at IND 37 - No Play.",1,10,37,-5,TRUE,False Start
"(:51) (No Huddle, Shotgun) 2-M.Ryan pass short left to 83-K.Granson ran ob at DEN 34 for 4 yards. PENALTY on DEN-90-J.Kongbo, Defensive Offside, 4 yards, enforced at DEN 38 - No Play.",2,5,38,4,TRUE,Defensive Offside
"(:13) (Shotgun) PENALTY on IND, Delay of Game, 5 yards, enforced at DEN 8 - No Play.",3,1,8,-5,TRUE,Delay of Game
"(10:48) (Shotgun) 10-J.Herbert scrambles left guard to LAC 36 for 1 yard (22-G.Delpit). PENALTY on CLE-22-G.Delpit, Unnecessary Roughness, 15 yards, enforced at LAC 36.",3,2,65,15,TRUE,Unnecessary Roughness
"(6:53) 27-K.Hunt left guard to LAC 29 for 4 yards (95-C.Covington). Penalty on LAC-9-K.Murray, Unsportsmanlike Conduct, offsetting. Penalty on CLE-71-J.Wills, Unsportsmanlike Conduct, offsetting.",1,10,33,NA,TRUE,NA
"(2:34) (Shotgun) PENALTY on LAC-68-J.Salyer, False Start, 5 yards, enforced at CLE 4 - No Play.",3,4,4,-5,TRUE,False Start
"(:41) 30-A.Ekeler right guard to LAC 29 for 4 yards (94-A.Wright). PENALTY on CLE-94-A.Wright, Face Mask, 15 yards, enforced at LAC 29.",1,10,75,15,TRUE,Face Mask
"(6:48) (Shotgun) 10-J.Herbert scrambles left end ran ob at CLE 20 for 2 yards (43-J.Johnson). PENALTY on CLE-43-J.Johnson, Unsportsmanlike Conduct, 10 yards, enforced at CLE 20.",2,7,22,10,TRUE,Unsportsmanlike Conduct
"(3:03) (Shotgun) 7-J.Brissett pass incomplete short middle to 2-A.Cooper. PENALTY on LAC-69-S.Joseph, Roughing the Passer, 2 yards, enforced at LAC 4 - No Play.",3,4,4,2,TRUE,Roughing the Passer
"(1:06) (No Huddle) 7-J.Brissett pass deep right to 11-D.Peoples-Jones to LAC 32 for 15 yards (27-J.Jackson). PENALTY on CLE-78-J.Conklin, Illegal Formation, 5 yards, enforced at LAC 47 - No Play.",1,10,47,-5,TRUE,Illegal Formation
"(14:24) 10-J.Herbert pass incomplete short left to 40-Z.Horvath. PENALTY on CLE-21-D.Ward, Defensive Holding, 5 yards, enforced at LAC 31 - No Play.",2,4,69,5,TRUE,Defensive Holding
"(13:03) (Shotgun) 10-J.Herbert pass short right to 30-A.Ekeler to LAC 45 for 6 yards (98-I.Rochell). PENALTY on LAC-63-C.Linsley, Ineligible Downfield Pass, 5 yards, enforced at LAC 39 - No Play.",3,7,61,-5,TRUE,Ineligible Downfield Pass
"(10:28) (Shotgun) 30-A.Ekeler right tackle for 22 yards, TOUCHDOWN. PENALTY on CLE-28-J.Owusu-Koramoah, Face Mask, 15 yards, enforced between downs.",2,10,22,15,TRUE,Face Mask
"(6:58) (Shotgun) PENALTY on LAC-89-D.Parham, False Start, 5 yards, enforced at CLE 4 - No Play.",2,4,4,-5,TRUE,False Start
"(1:11) (Shotgun) 7-J.Brissett pass short left to 85-D.Njoku to LAC 2 for 9 yards (3-D.James) [99-J.Tillery]. Penalty on LAC-3-D.James, Defensive Holding, declined.",3,5,11,NA,FALSE,NA
"(14:22) 28-J.Jacobs left end to LV 31 for 3 yards (56-G.Karlaftis). PENALTY on LV-72-J.Eluemunor, Chop Block, 14 yards, enforced at LV 28 - No Play.",2,7,72,-14,TRUE,Chop Block
"(9:56) 28-J.Jacobs right end to LV 43 for 3 yards (95-C.Jones). PENALTY on LV-72-J.Eluemunor, Illegal Block Above the Waist, 10 yards, enforced at LV 40 - No Play.",3,3,60,-10,TRUE,Illegal Block Above the Waist
"(15:00) (Shotgun) 4-D.Carr pass incomplete deep right to 17-D.Adams. PENALTY on KC-27-R.Fenton, Defensive Pass Interference, 25 yards, enforced at KC 42 - No Play.",3,4,42,25,TRUE,Defensive Pass Interference
"(14:14) (Shotgun) 4-D.Carr pass incomplete deep left to 17-D.Adams. PENALTY on KC-35-Ja.Watson, Defensive Pass Interference, 23 yards, enforced at KC 24 - No Play.",2,17,24,23,TRUE,Defensive Pass Interference
"(9:12) (Shotgun) 15-P.Mahomes pass short middle to 11-M.Valdes-Scantling to KC 43 for 18 yards (39-N.Hobbs). Penalty on LV-55-C.Jones, Defensive Offside, declined.",3,10,75,NA,FALSE,NA
"(3:59) 28-J.Jacobs up the middle to LV 35 for 1 yard (47-D.Harris). PENALTY on LV-77-T.Munford, Offensive Holding, 10 yards, enforced at LV 34 - No Play.",2,1,66,-10,TRUE,Offensive Holding
"(1:13) (Shotgun) 4-D.Carr sacked at LV 40 for -6 yards (95-C.Jones). FUMBLES (95-C.Jones), RECOVERED by KC-95-C.Jones at LV 42. PENALTY on KC-95-C.Jones, Roughing the Passer, 14 yards, enforced at LV 46 - No Play.",3,8,54,14,TRUE,Roughing the Passer
"(:17) (Shotgun) 15-P.Mahomes pass short right to 1-J.McKinnon pushed ob at KC 37 for 12 yards (33-R.Teamer). PENALTY on LV-33-R.Teamer, Face Mask, 15 yards, enforced at KC 37.",1,10,75,15,TRUE,Face Mask
"(11:34) (Shotgun) 15-P.Mahomes pass incomplete deep left to 17-M.Hardman. PENALTY on LV-25-T.Moehrig, Illegal Contact, 5 yards, enforced at LV 25 - No Play.",2,6,25,5,TRUE,Illegal Contact
"(9:25) (Shotgun) 4-D.Carr pass short right to 28-J.Jacobs ran ob at LV 36 for 11 yards (32-N.Bolton). PENALTY on LV-10-M.Hollins, Offensive Pass Interference, 10 yards, enforced at LV 25 - No Play.",1,10,75,-10,TRUE,Offensive Pass Interference
"(8:55) (Shotgun) PENALTY on LV, Delay of Game, 5 yards, enforced at LV 15 - No Play.",1,20,85,-5,TRUE,Delay of Game
"(7:54) (Shotgun) 4-D.Carr pass incomplete short left. PENALTY on LV-4-D.Carr, Intentional Grounding, 8 yards, enforced at LV 16.",2,19,84,-8,TRUE,Intentional Grounding
"(4:38) (Shotgun) 15-P.Mahomes pass short left to 9-J.Smith-Schuster to LV 3 for 13 yards (27-S.Webb; 25-T.Moehrig). PENALTY on LV-27-S.Webb, Horse Collar Tackle, 2 yards, enforced at LV 3.",1,10,16,2,TRUE,Horse Collar Tackle
"(3:29) (Shotgun) 15-P.Mahomes pass short right to 87-T.Kelce for 8 yards, TOUCHDOWN. PENALTY on LV-5-D.Deablo, Unnecessary Roughness, 15 yards, enforced between downs.",2,8,8,15,TRUE,Unnecessary Roughness
"(12:10) (Shotgun) PENALTY on KC-1-J.McKinnon, False Start, 5 yards, enforced at KC 46 - No Play.",3,5,54,-5,TRUE,False Start
"(12:09) (Shotgun) 15-P.Mahomes pass short middle to 87-T.Kelce to LV 49 for 10 yards (39-N.Hobbs). PENALTY on KC-87-T.Kelce, Illegal Motion, 5 yards, enforced at KC 41 - No Play.",3,10,59,-5,TRUE,Illegal Motion
"(11:44) (Shotgun) 15-P.Mahomes pass deep left to 17-M.Hardman pushed ob at LV 28 for 36 yards (30-D.Harmon). Penalty on LV-99-C.Ferrell, Illegal Use of Hands, declined.",3,15,64,NA,FALSE,NA
"(9:28) 19-M.Wright 37 yard field goal is No Good, Wide Left, Center-41-J.Winchester, Holder-5-T.Townsend. PENALTY on LV-51-M.Koonce, Defensive Holding, 5 yards, enforced at LV 18 - No Play.",4,14,18,5,TRUE,Defensive Holding
"(12:48) 5-T.Bridgewater pass incomplete short middle [1-A.Gardner]. PENALTY on MIA-5-T.Bridgewater, Intentional Grounding, 8 yards, enforced in End Zone, SAFETY.",1,10,92,-8,TRUE,Intentional Grounding
"(9:43) #19 Thompson in at QB. 31-R.Mostert left end to MIA 6 for 3 yards (9-K.Alexander, 39-W.Parks). PENALTY on MIA-10-T.Hill, Illegal Formation, 1 yard, enforced at MIA 3 - No Play.",1,10,97,NA,TRUE,Illegal Formation
"(7:50) 19-S.Thompson pass incomplete deep right to 10-T.Hill. PENALTY on NYJ-1-A.Gardner, Defensive Pass Interference, 34 yards, enforced at MIA 12 - No Play.",3,1,88,34,TRUE,Defensive Pass Interference
"(7:32) (Shotgun) 19-S.Thompson scrambles up the middle to NYJ 42 for 12 yards (30-M.Carter). MIA-72-T.Armstead was injured during the play.  PENALTY on MIA-72-T.Armstead, Offensive Holding, 10 yards, enforced at MIA 46 - No Play.",3,10,54,-10,TRUE,Offensive Holding
"(5:27) 20-Br.Hall left end to NYJ 42 for -6 yards (6-M.Ingram). PENALTY on MIA-6-M.Ingram, Face Mask, 15 yards, enforced at NYJ 48 - No Play.",1,10,52,15,TRUE,Face Mask
"(4:47) (Shotgun) 2-Z.Wilson sacked at MIA 45 for -8 yards (98-R.Davis). PENALTY on MIA-98-R.Davis, Face Mask, 15 yards, enforced at MIA 37 - No Play.",1,10,37,15,TRUE,Face Mask
